x		   	   y
9.329604634224781421e+02 2.496395400439667530e-04
9.578481888179885573e+02 2.352504439541224597e-04
9.827359142134991998e+02 2.218917178215599442e-04
1.007623639609009615e+03 2.096948024103247239e-04
1.032511365004520258e+03 1.992311176463553487e-04
1.057399090400030673e+03 1.905940204726202473e-04
1.082286815795541088e+03 1.829084221198494552e-04
1.107174541191051730e+03 1.747646486083919532e-04
1.132062266586562146e+03 1.651790770908225750e-04
1.156949991982072788e+03 1.542343685255460992e-04
1.181837717377583203e+03 1.429334993008573413e-04
1.206725442773093619e+03 1.325253279313726043e-04
1.231613168168604261e+03 1.238791637947051188e-04
1.256500893564114676e+03 1.172162676995821846e-04
1.281388618959625092e+03 1.121299129208932696e-04
1.306276344355135734e+03 1.077790980478892784e-04
1.331164069750646149e+03 1.032527510606436841e-04
1.356051795146156564e+03 9.801516152034296095e-05
1.380939520541667207e+03 9.216752024338363775e-05
1.405827245937177622e+03 8.630304236392924921e-05
1.430714971332688265e+03 8.099350102488527816e-05
1.455602696728198680e+03 7.625426279321711087e-05
1.480490422123709095e+03 7.147568596947030250e-05
1.505378147519219738e+03 6.599008148780644879e-05
1.530265872914730153e+03 5.979929101742805246e-05
1.555153598310240795e+03 5.374382100563111851e-05
1.580041323705751211e+03 4.891890925044438106e-05
1.604929049101261626e+03 4.586076786289717248e-05
1.629816774496772268e+03 4.420458334649235969e-05
1.654704499892282684e+03 4.306676956834441761e-05
1.679592225287793099e+03 4.175784661093803871e-05
1.704479950683303741e+03 4.015515285129365856e-05
1.729367676078814156e+03 3.846557553401931933e-05
1.754255401474324572e+03 3.677711278946596248e-05
1.779143126869835214e+03 3.492677530983232339e-05
1.804030852265345629e+03 3.270937253377115316e-05
1.828918577660856272e+03 3.008423809494599287e-05
1.853806303056366687e+03 2.720677714054108782e-05
1.878694028451877102e+03 2.436417835237555138e-05
1.903581753847387745e+03 2.187415190573455042e-05
1.928469479242898160e+03 1.994209783727405214e-05
1.953357204638408803e+03 1.855333181783304039e-05
1.978244930033918990e+03 1.752345936327033744e-05
2.003132655429429633e+03 1.667926434812124384e-05
2.028020380824940275e+03 1.595894138676589205e-05
2.052908106220450463e+03 1.531366898357246748e-05
2.077795831615961106e+03 1.459800840382566477e-05
2.102683557011471748e+03 1.367156942734223843e-05
2.127571282406982391e+03 1.258784658295788731e-05
2.152459007802492579e+03 1.157423923404262512e-05
2.177346733198003221e+03 1.080710086705032828e-05
2.202234458593513864e+03 1.027000501649933134e-05
2.227122183989024052e+03 9.825785083318806478e-06
2.252009909384534694e+03 9.344339488146481362e-06
2.276897634780045337e+03 8.749730782061092586e-06
2.301785360175555525e+03 8.037684636685754375e-06
2.326673085571066167e+03 7.303505730055704982e-06
